Date,Lloyds_Close
2015-11-06,73.74
2015-11-09,73.0
2015-11-10,72.96
2015-11-11,73.45
2015-11-12,72.54
2015-11-13,72.74
2015-11-16,72.68
2015-11-17,73.84
2015-11-18,74.0
2015-11-19,73.33
2015-11-20,71.78
2015-11-23,71.78
2015-11-24,71.6
2015-11-25,72.17
2015-11-26,73.13
2015-11-27,73.4
2015-11-30,72.96
2015-12-01,74.71
2015-12-02,74.45
2015-12-03,73.0
2015-12-04,73.01
2015-12-07,72.48
2015-12-08,71.31
2015-12-09,70.67
2015-12-10,72.04
2015-12-11,70.01
2015-12-14,68.68
2015-12-15,70.34
2015-12-16,70.53
2015-12-17,71.33
2015-12-18,71.04
2015-12-21,70.95
2015-12-22,71.31
2015-12-23,73.65
2015-12-24,73.5
2015-12-29,74.0
2015-12-30,73.6
2015-12-31,73.07
2016-01-04,71.37
2016-01-05,71.57
2016-01-06,71.0
2016-01-07,69.49
2016-01-08,68.87
2016-01-11,68.93
2016-01-12,69.3
2016-01-13,67.8
2016-01-14,66.53
2016-01-15,64.71
2016-01-18,63.96
2016-01-19,65.78
2016-01-20,64.05
2016-01-21,64.7
2016-01-22,66.86
2016-01-25,63.14
2016-01-26,64.73
2016-01-27,64.92
2016-01-28,64.07
2016-01-29,65.46
2016-02-01,64.19
2016-02-02,61.94
2016-02-03,60.69
2016-02-04,62.77
2016-02-05,61.8
2016-02-08,59.36
2016-02-09,58.13
2016-02-10,58.4
2016-02-11,56.0
2016-02-12,58.48
2016-02-15,59.84
2016-02-16,60.55
2016-02-17,62.79
2016-02-18,62.44
2016-02-19,61.8
2016-02-22,63.12
2016-02-23,62.93
2016-02-24,62.2
2016-02-25,70.64
2016-02-26,72.13
2016-02-29,72.4
2016-03-01,73.07
2016-03-02,73.27
2016-03-03,72.58
2016-03-04,73.24
2016-03-07,72.75
2016-03-08,70.63
2016-03-09,69.77
2016-03-10,68.95
2016-03-11,70.15
2016-03-14,70.31
2016-03-15,69.21
2016-03-16,68.79
2016-03-17,69.3
2016-03-18,69.9
2016-03-21,69.79
2016-03-22,69.36
2016-03-23,68.9
2016-03-24,68.05
2016-03-29,68.0
2016-03-30,67.8
2016-03-31,68.02
2016-04-01,67.95
2016-04-04,68.32
2016-04-05,66.94
2016-04-06,68.08
2016-04-07,64.82
2016-04-08,65.9
2016-04-11,65.52
2016-04-12,66.64
2016-04-13,69.0
2016-04-14,68.8
2016-04-15,68.2
2016-04-18,68.45
2016-04-19,67.85
2016-04-20,67.76
2016-04-21,68.7
2016-04-22,68.0
2016-04-25,67.59
2016-04-26,70.0
2016-04-27,69.25
2016-04-28,68.11
2016-04-29,67.07
2016-05-03,65.59
2016-05-04,64.79
2016-05-05,64.08
2016-05-06,65.01
2016-05-09,64.37
2016-05-10,65.42
2016-05-11,65.69
2016-05-12,64.91
2016-05-13,66.4
2016-05-16,66.67
2016-05-17,67.28
2016-05-18,69.5
2016-05-19,69.08
2016-05-20,70.34
2016-05-23,70.22
2016-05-24,72.42
